dataset,exchange,symbol,timeframe,path,rows,start,end,mean_return,volatility,skewness,kurtosis,min_return,max_return,var_5,cvar_5
binance_BTCUSDT_15m,binance,BTCUSDT,15m,data/processed/binance_BTCUSDT_15m.parquet,149320,2022-03-01 00:00:00+00:00,2026-06-03 11:00:00+00:00,6.59976315251478e-06,0.002706468944076901,-0.2254700445956912,33.942552327525654,-0.08979671484247265,0.05812464733113698,-0.0037058452602249715,-0.006401014486960336
binance_BTCUSDT_1d,binance,BTCUSDT,1d,data/processed/binance_BTCUSDT_1d.parquet,1556,2022-03-01 00:00:00+00:00,2026-06-03 00:00:00+00:00,0.0006032861875788757,0.026458744503954367,-0.016750331647848143,4.105243512109212,-0.153798392671479,0.12192683309102881,-0.039127482748787426,-0.06108356445449305
binance_BTCUSDT_1h,binance,BTCUSDT,1h,data/processed/binance_BTCUSDT_1h.parquet,37337,2022-03-01 00:00:00+00:00,2026-06-03 17:00:00+00:00,2.5404190116441195e-05,0.005349450601846207,-0.0449522326240382,13.88659474198253,-0.06988994122058856,0.06487232903615148,-0.007593413631420964,-0.013063526486341475
binance_BTCUSDT_2h,binance,BTCUSDT,2h,data/processed/binance_BTCUSDT_2h.parquet,18669,2022-03-01 00:00:00+00:00,2026-06-03 16:00:00+00:00,5.063827281533306e-05,0.007498523050731242,0.042328176268579085,11.1193435042123,-0.07259217491031644,0.0764357157798381,-0.010873133715479216,-0.018178982932296757
binance_BTCUSDT_30m,binance,BTCUSDT,30m,data/processed/binance_BTCUSDT_30m.parquet,74661,2022-03-01 00:00:00+00:00,2026-06-03 11:00:00+00:00,1.3217323885942789e-05,0.0038295036529167074,-0.06960532364978819,20.3847179617402,-0.0710468187107608,0.061082042267914805,-0.005258968387816643,-0.009197243260883694
binance_BTCUSDT_4h,binance,BTCUSDT,4h,data/processed/binance_BTCUSDT_4h.parquet,9335,2022-03-01 00:00:00+00:00,2026-06-03 16:00:00+00:00,0.00010002916195601412,0.010467892924660722,0.0385993733699367,7.281772737866514,-0.08030290663673445,0.08481976455942664,-0.01601417148677287,-0.02564569013373278
nobitex_BTCIRT_1d,nobitex,BTCIRT,1d,data/processed/nobitex_BTCIRT_1d.parquet,868,2024-01-01 20:30:00+00:00,2026-05-31 20:30:00+00:00,0.0022611820207865158,0.02411897475341999,0.07307280532082931,2.7217351836767234,-0.1202082995926198,0.12574341517983578,-0.0340901806785178,-0.05178245836066992
nobitex_BTCUSDT_15m,nobitex,BTCUSDT,15m,data/processed/nobitex_BTCUSDT_15m.parquet,661,2026-05-27 13:15:00+00:00,2026-06-03 10:45:00+00:00,-0.00016551357095415968,0.002443537399700666,0.20990382471179866,2.10430116209435,-0.010681973782889598,0.010778801855098497,-0.004062811031104385,-0.005381466053996805
nobitex_BTCUSDT_1d,nobitex,BTCUSDT,1d,data/processed/nobitex_BTCUSDT_1d.parquet,3862,2020-01-01 00:00:00+00:00,2026-06-02 20:30:00+00:00,0.0008895722182765359,0.0246201024345235,-0.7953299175168689,23.34166750834387,-0.3950484717412017,0.1953613919484356,-0.03494040610485816,-0.058193753369953805
nobitex_BTCUSDT_1h,nobitex,BTCUSDT,1h,data/processed/nobitex_BTCUSDT_1h.parquet,92647,2020-01-01 00:00:00+00:00,2026-06-02 21:30:00+00:00,4.238971081725049e-05,0.006027282534371615,-0.2672197291372992,41.40964473447993,-0.18211473428145242,0.17383988921813565,-0.008504592202045302,-0.013443230719948815
nobitex_BTCUSDT_1m,nobitex,BTCUSDT,1m,data/processed/nobitex_BTCUSDT_1m.parquet,3374351,2020-01-01 00:00:00+00:00,2026-06-02 22:00:00+00:00,1.075026273284573e-06,0.0009060343799752993,0.19008819792940637,184.33057630567097,-0.07235467856261357,0.07496999965713891,-0.001184516125257018,-0.0020561710417218958
nobitex_BTCUSDT_30m,nobitex,BTCUSDT,30m,data/processed/nobitex_BTCUSDT_30m.parquet,332,2026-05-27 13:00:00+00:00,2026-06-03 11:00:00+00:00,-0.0003310523366376515,0.0031312047871049514,-0.027681076015099507,3.158088565690593,-0.014699435850070608,0.01340151975683912,-0.005244886599641729,-0.007275055069976395
nobitex_BTCUSDT_3h,nobitex,BTCUSDT,3h,data/processed/nobitex_BTCUSDT_3h.parquet,12154,2022-03-21 02:30:00+00:00,2026-06-03 08:30:00+00:00,8.205612377412566e-05,0.00907232543922044,-0.075743226357523,8.973447601896037,-0.07431665356737405,0.0805316044827662,-0.013158095309237505,-0.02201639833138607
nobitex_BTCUSDT_5m,nobitex,BTCUSDT,5m,data/processed/nobitex_BTCUSDT_5m.parquet,674875,2020-01-01 00:00:00+00:00,2026-06-02 22:05:00+00:00,5.367364283819558e-06,0.002024143589378021,0.4922483421319136,208.63298147652847,-0.10225373134328364,0.1842884680802812,-0.0026047157878673786,-0.004598213393542497
