dataset,strategy,variant,params,total_return,cagr,sharpe,max_drawdown,trades_count,avg_trade,median_trade,exposure
binance_BTCUSDT_1d,ema_trend,ema_18_90,"fast=18, slow=90",1.4202374633486716,0.23039287113088935,0.7818259333404222,-0.3320229002363546,8.0,0.17118414418795508,0.04525080098643752,0.5482005141388174
binance_BTCUSDT_1d,ema_trend,ema_20_100,"fast=20, slow=100",1.4133550818280058,0.22957123217013886,0.7794645669706814,-0.32759754969838406,8.0,0.17333371258342534,0.04455301119866795,0.5482005141388174
binance_BTCUSDT_1d,ema_trend,ema_22_110,"fast=22, slow=110",1.4316637850257874,0.2317530383689308,0.7729486644703049,-0.4131304210204263,8.0,0.16153983323887688,0.06900847242453734,0.5546272493573264
nobitex_BTCIRT_1d,atr_breakout,atr_18_1.4,"window=18, atr_multiple=1.4",2.5298217640848577,0.6995495420935045,1.8694084113867138,-0.22777468773439635,20.0,0.0823645951800491,0.0025882000872049504,0.45622119815668205
nobitex_BTCIRT_1d,atr_breakout,atr_20_1.5,"window=20, atr_multiple=1.5",2.7765786171537568,0.7485333535567724,1.9617233591793366,-0.24062164721845292,17.0,0.10027342731516806,0.018848452925543047,0.44930875576036866
nobitex_BTCIRT_1d,atr_breakout,atr_22_1.6,"window=22, atr_multiple=1.6",2.467773959961259,0.6869223278352525,1.8473629134612248,-0.21085843481541067,16.0,0.1008719868551137,0.03628253858001618,0.4412442396313364
nobitex_BTCIRT_1d,donchian_breakout,donchian_50,window=50,2.343043587628914,0.661136612802441,1.5174157318844572,-0.30608691893498097,4.0,0.5212092230488541,0.090228608553092,0.6290322580645161
nobitex_BTCIRT_1d,donchian_breakout,donchian_55,window=55,2.16012946080662,0.6222932231229901,1.4564644639118296,-0.31412126133666196,4.0,0.48624983238858727,0.090228608553092,0.6232718894009217
nobitex_BTCIRT_1d,donchian_breakout,donchian_60,window=60,1.2520018950218392,0.406881753709156,1.0930420351568326,-0.43243575164785286,4.0,0.3519724430938632,0.03691119367187928,0.6751152073732719
nobitex_BTCIRT_1d,ema_trend,ema_18_90,"fast=18, slow=90",2.00225626871273,0.5877059909959574,1.3451513654539027,-0.3307949802400305,8.0,0.18917331057489178,0.04442326168327615,0.7269585253456221
nobitex_BTCIRT_1d,ema_trend,ema_20_100,"fast=20, slow=100",1.9115954121398286,0.5673655786407401,1.2952603077793567,-0.36234647513336893,8.0,0.18035684106123337,0.030199310230927257,0.7511520737327189
nobitex_BTCIRT_1d,ema_trend,ema_22_110,"fast=22, slow=110",1.537038511160378,0.479184418830924,1.1509376421478372,-0.382654929680189,7.0,0.17767617751525594,0.05144208067849587,0.7649769585253456
nobitex_BTCUSDT_3h,ema_trend,ema_18_90,"fast=18, slow=90",2.285165129222465,0.33076978620268127,1.0618340030981157,-0.3261204954236452,78.0,0.02027376540994706,-0.014930398379257692,0.5181833141352641
nobitex_BTCUSDT_3h,ema_trend,ema_20_100,"fast=20, slow=100",1.5829061016307535,0.2560564163875625,0.8767415616393871,-0.40027299084986645,68.0,0.01960839755478284,-0.015794953500649078,0.5190060885305249
nobitex_BTCUSDT_3h,ema_trend,ema_22_110,"fast=22, slow=110",1.4088527145042198,0.2351791692168188,0.8241297123804308,-0.39808057840141986,57.0,0.021933657068826287,-0.020201109861620825,0.5168668751028468
binance_BTCUSDT_1d,donchian_breakout,donchian_50,window=50,0.2472158745241093,0.053187238218756816,0.32193592222831213,-0.39458103287452795,9.0,0.05631534396751684,0.008634909345094366,0.46593830334190234
binance_BTCUSDT_1d,donchian_breakout,donchian_55,window=55,0.8802422601121016,0.1596419925520416,0.622429066980202,-0.4282725579350035,7.0,0.13449723366765073,0.06968631027809025,0.4987146529562982
binance_BTCUSDT_1d,donchian_breakout,donchian_60,window=60,1.1950830773023124,0.2025306227271777,0.7432224067749653,-0.41951077185315955,6.0,0.18066644355276,0.15627681887094946,0.4620822622107969
nobitex_BTCUSDT_3h,donchian_breakout,donchian_50,window=50,1.4187794643856306,0.23640015794903624,0.8271392162505598,-0.3741027148482954,55.0,0.02389199144028982,-0.02862097923610618,0.5244363995392464
nobitex_BTCUSDT_3h,donchian_breakout,donchian_55,window=55,1.2459361531158462,0.2145720146515202,0.7702800378640197,-0.4315352968080697,50.0,0.024085910798186935,-0.020334920074944363,0.5221326312325161
nobitex_BTCUSDT_3h,donchian_breakout,donchian_60,window=60,0.82770514112778,0.1559072318874546,0.6075124867563714,-0.5116300010528554,46.0,0.022365993841494146,-0.028982182403683387,0.5338160276452196
nobitex_BTCUSDT_1d,ema_trend,ema_18_90,"fast=18, slow=90",4.532137900079769,0.1754692565502456,0.6358556286141634,-0.6127377759361434,22.0,0.17440426817712168,-0.028814816348635586,0.559295701708959
