dataset,exchange,symbol,timeframe,strategy,strategy_params,position_mode,fee_bps,slippage_bps,spread_bps,execution_delay,total_return,cagr,sharpe,sortino,calmar,profit_factor,win_rate,max_drawdown,trades_count,avg_trade,median_trade,exposure,buy_hold_total_return,buy_hold_cagr,buy_hold_sharpe,buy_hold_max_drawdown,excess_total_return_vs_buy_hold,excess_cagr_vs_buy_hold,excess_sharpe_vs_buy_hold,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades_count,train_exposure,test_total_return,test_cagr,test_sharpe,test_max_drawdown,test_trades_count,test_exposure,test_minus_train_cagr,test_minus_train_sharpe,performance_score,performance_rank
binance_BTCUSDT_1d,binance,BTCUSDT,1d,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,1.4133550818280058,0.22957123217013886,0.7794645669706814,0.903235442574306,0.700772128428625,1.1705756918434096,0.2782776349614396,-0.32759754969838406,8.0,0.17333371258342534,0.04455301119866795,0.5482005141388174,0.4974383785288714,0.09934151486797993,0.4404665889368611,-0.6673056490171775,0.9159167032991344,0.13022971730215893,0.33899797803382037,1.433686645086501,0.36759095676549336,1.0209548925932763,-0.32759754969838406,6.0,0.5679845708775313,-0.04435641871847584,-0.031404110230766724,-0.00623109242352483,-0.20626476416620354,3.0,0.5067437379576107,-0.3989950669962601,-1.0271859850168013,86.20879120879123,1
nobitex_BTCIRT_1d,nobitex,BTCIRT,1d,atr_breakout,"window=20, atr_multiple=1.5",long_only_spot,10.0,2.0,0.0,1,2.7765786171537568,0.7485333535567724,1.9617233591793366,2.131904766100844,3.1108313080294154,1.531230688108248,0.26152073732718895,-0.24062164721845292,17.0,0.10027342731516806,0.018848452925543047,0.44930875576036866,4.689985647913636,1.077444676222835,1.8203259821661768,-0.32931171962401173,-1.913407030759879,-0.3289113226660625,0.1413973770131598,1.423116559331104,1.4172641019249697,2.620106177048295,-0.24062164721845292,7.0,0.45901639344262296,0.558562506046455,0.3807917103301022,1.3546746941176393,-0.16713093279490288,10.0,0.44223107569721115,-1.0364723915948675,-1.2654314829306557,85.76923076923077,2
nobitex_BTCIRT_1d,nobitex,BTCIRT,1d,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,2.16012946080662,0.6222932231229901,1.4564644639118296,1.7273002776340483,1.9810605002507053,1.3061033361459038,0.3467741935483871,-0.31412126133666196,4.0,0.48624983238858727,0.090228608553092,0.6232718894009217,4.689985647913636,1.077444676222835,1.8203259821661768,-0.32931171962401173,-2.5298561871070158,-0.45515145309984484,-0.3638615182543472,1.0396330842348749,1.0356648480217938,2.0953457275698844,-0.2538088500389235,2.0,0.4371584699453552,0.5223477135838339,0.3573889207654002,0.979612156484715,-0.3141212613366626,3.0,0.7569721115537849,-0.6782759272563936,-1.1157335710851695,85.10989010989012,3
nobitex_BTCIRT_1d,nobitex,BTCIRT,1d,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,1.9115954121398286,0.5673655786407401,1.2952603077793567,1.6719676603881257,1.565809570610311,1.2417805191423794,0.4055299539170507,-0.36234647513336893,8.0,0.18035684106123337,0.030199310230927257,0.7511520737327189,4.689985647913636,1.077444676222835,1.8203259821661768,-0.32931171962401173,-2.778390235773807,-0.5100790975820948,-0.5250656743868201,1.1548044042263794,1.150289350847336,1.9692247161009468,-0.36234647513336893,5.0,0.7349726775956285,0.3276518481257831,0.22883478112343947,0.7207017185385747,-0.28231653401881274,4.0,0.7609561752988048,-0.9214545697238965,-1.2485229975623722,83.46153846153848,4
nobitex_BTCUSDT_3h,nobitex,BTCUSDT,3h,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,1.5829061016307535,0.2560564163875625,0.8767415616393871,0.8642364790933261,0.6397044573102451,1.0701143284555796,0.2646042455158795,-0.40027299084986645,68.0,0.01960839755478284,-0.015794953500649078,0.5190060885305249,0.6299647599136626,0.12454241947415112,0.48473833761840296,-0.6742401247401237,0.9529413417170909,0.13151399691341137,0.39200322402098414,1.6526587405649473,0.42022884719670284,1.18752742532068,-0.40027299084986645,43.0,0.5450738916256158,-0.026295368442061262,-0.019103723612018952,0.048681058116187316,-0.30036021846387206,25.0,0.4665344571145265,-0.4393325708087218,-1.1388463672044926,80.10989010989012,5
binance_BTCUSDT_1d,binance,BTCUSDT,1d,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,0.8802422601121016,0.1596419925520416,0.622429066980202,0.6735312735000721,0.3727579308881835,1.1405233423842254,0.2525706940874036,-0.4282725579350035,7.0,0.13449723366765073,0.06968631027809025,0.4987146529562982,0.4974383785288714,0.09934151486797993,0.4404665889368611,-0.6673056490171775,0.3828038815832302,0.06030047768406166,0.18196247804334087,1.845989846289223,0.44503918929217723,1.262047341812197,-0.22521589751165672,4.0,0.4522661523625844,-0.36332199887857874,-0.2720498757842733,-0.9889720809993805,-0.4282725579350032,4.0,0.5895953757225434,-0.7170890650764505,-2.251019422811577,78.46153846153847,6
nobitex_BTCUSDT_3h,nobitex,BTCUSDT,3h,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,1.2459361531158462,0.2145720146515202,0.7702800378640197,0.7588964737674507,0.4972293488820999,1.06123053808896,0.26386374856014483,-0.4315352968080697,50.0,0.024085910798186935,-0.020334920074944363,0.5221326312325161,0.6299647599136626,0.12454241947415112,0.48473833761840296,-0.6742401247401237,0.6159713932021835,0.09002959517736908,0.2855417002456167,1.0787843674188076,0.30102653449369465,0.9389841807469494,-0.4315352968080697,34.0,0.549384236453202,0.0804084292324172,0.0575783626978319,0.3448146157948636,-0.27003769379137144,16.0,0.4672781358453148,-0.24344817179586276,-0.5941695649520858,77.80219780219778,7
nobitex_BTCUSDT_1d,nobitex,BTCUSDT,1d,ema_trend,"fast=20, slow=100",long_only_spot,10.0,2.0,0.0,1,3.9276753645836138,0.1626848957605176,0.6052145909921911,0.5338489160465264,0.25212793860326255,1.1506937157429795,0.301657172449508,-0.6452473956744293,21.0,0.19049445331887627,-0.03289708728813656,0.5611082340756085,8.678978546049093,0.2392854651628502,0.6966982835332477,-0.7662925431645939,-4.751303181465479,-0.07660056940233262,-0.0914836925410566,4.036566869977072,0.2307663860091742,0.7215994120051444,-0.6452473956744293,16.0,0.5946516537649542,-0.05182154803312966,-0.01886159844647861,-0.025204544955227372,-0.3108974395591171,6.0,0.4666666666666667,-0.24962798445565282,-0.7468039569603718,74.94505494505496,8
nobitex_BTCUSDT_1d,nobitex,BTCUSDT,1d,donchian_breakout,window=55,long_only_spot,10.0,2.0,0.0,1,3.161624508118382,0.14426579926933636,0.5726303925733148,0.5772961177057789,0.22390089839168703,1.130355000320649,0.3130502330398757,-0.6443288093331413,18.0,0.20135971004380165,-0.026908459606546642,0.5828586224754013,8.678978546049093,0.2392854651628502,0.6966982835332477,-0.7662925431645939,-5.517354037930711,-0.09501966589351385,-0.12406789095993287,4.3216741813015025,0.23950098548205334,0.7686176654990537,-0.6443288093331413,13.0,0.5774102744546095,-0.24212565112002882,-0.09444530367973292,-0.40392075586170867,-0.36407919524862276,6.0,0.5970588235294118,-0.33394628916178626,-1.1725384213607624,73.18681318681321,9
binance_BTCUSDT_1d,binance,BTCUSDT,1d,rsi_mean_reversion,"window=14, entry=30, exit=50",long_only_spot,10.0,2.0,0.0,1,0.33216442214101827,0.0695922740443431,0.38612309301084735,0.2611314523318372,0.2004965707980005,1.1335763622333312,0.11696658097686376,-0.34709957266280145,31.0,0.01175151332034056,0.01953448385316614,0.22557840616966582,0.4974383785288714,0.09934151486797993,0.4404665889368611,-0.6673056490171775,-0.16527395638785314,-0.029749240823636836,-0.05434349592601373,0.20820624788374054,0.06883768601441909,0.3919063582325539,-0.34709957266280145,18.0,0.2073288331726133,0.06256653633749476,0.04360373421394126,0.292875605435073,-0.2843926865085309,14.0,0.26011560693641617,-0.025233951800477827,-0.09903075279748086,72.41758241758241,10
